1.874121e-01 2.74e-13 2.09e-08 6.05e-05 4.65e-03 5.93e-02 5.53e-01 3.41e-01 4.26e-02
2.970282e-01 2.22e-14 2.68e-09 1.23e-05 1.49e-03 3.02e-02 4.46e-01 4.36e-01 8.63e-02
4.707580e-01 1.62e-15 3.09e-10 2.25e-06 4.34e-04 1.39e-02 3.25e-01 5.03e-01 1.58e-01
7.461012e-01 1.06e-16 3.22e-11 3.70e-07 1.13e-04 5.74e-03 2.13e-01 5.22e-01 2.60e-01
1.182491e+00 6.26e-18 3.01e-12 5.49e-08 2.66e-05 2.14e-03 1.26e-01 4.88e-01 3.84e-01
1.874121e+00 3.36e-19 2.56e-13 7.40e-09 5.68e-06 7.24e-04 6.73e-02 4.14e-01 5.18e-01
2.970282e+00 1.66e-20 2.01e-14 9.19e-10 1.12e-06 2.26e-04 3.33e-02 3.24e-01 6.42e-01
4.707580e+00 7.71e-22 1.47e-15 1.07e-10 2.06e-07 6.60e-05 1.54e-02 2.38e-01 7.46e-01
7.461012e+00 3.41e-23 1.03e-16 1.19e-11 3.62e-08 1.84e-05 6.80e-03 1.66e-01 8.27e-01
1.182491e+01 8.93e-24 6.97e-18 1.27e-12 6.15e-09 4.94e-06 2.90e-03 1.12e-01 8.85e-01
1.874121e+01 8.93e-24 4.60e-19 1.33e-13 1.02e-09 1.30e-06 1.21e-03 7.41e-02 9.25e-01
2.970282e+01 8.93e-24 2.99e-20 1.37e-14 1.66e-10 3.35e-07 4.94e-04 4.81e-02 9.51e-01
4.707580e+01 8.93e-24 1.92e-21 1.39e-15 2.68e-11 8.58e-08 2.00e-04 3.09e-02 9.69e-01
7.461012e+01 8.93e-24 1.23e-22 1.41e-16 4.30e-12 2.18e-08 8.07e-05 1.97e-02 9.80e-01
1.182491e+02 8.93e-24 8.93e-24 1.42e-17 6.87e-13 5.52e-09 3.23e-05 1.25e-02 9.87e-01
1.874121e+02 8.93e-24 8.93e-24 1.43e-18 1.09e-13 1.39e-09 1.29e-05 7.95e-03 9.92e-01
2.970282e+02 8.93e-24 8.93e-24 1.43e-19 1.74e-14 3.51e-10 5.17e-06 5.03e-03 9.95e-01
4.707580e+02 8.93e-24 8.93e-24 1.43e-20 2.76e-15 8.83e-11 2.06e-06 3.18e-03 9.97e-01
