2.970282e+00 1.05e-18 1.51e-12 1.86e-08 1.07e-05 5.72e-03 1.65e-01 8.29e-01
4.707580e+00 7.12e-20 1.61e-13 3.16e-09 2.88e-06 2.43e-03 1.11e-01 8.86e-01
7.461012e+00 4.70e-21 1.69e-14 5.24e-10 7.55e-07 1.01e-03 7.33e-02 9.26e-01
1.182491e+01 3.05e-22 1.74e-15 8.54e-11 1.95e-07 4.15e-04 4.76e-02 9.52e-01
1.874121e+01 1.96e-23 1.77e-16 1.38e-11 4.99e-08 1.68e-04 3.06e-02 9.69e-01
2.970282e+01 2.76e-24 1.79e-17 2.21e-12 1.27e-08 6.77e-05 1.95e-02 9.80e-01
4.707580e+01 2.76e-24 1.80e-18 3.53e-13 3.21e-09 2.72e-05 1.24e-02 9.88e-01
7.461012e+01 2.76e-24 1.81e-19 5.62e-14 8.11e-10 1.09e-05 7.86e-03 9.92e-01
1.182491e+02 2.76e-24 1.82e-20 8.94e-15 2.04e-10 4.34e-06 4.97e-03 9.95e-01
1.874121e+02 2.76e-24 1.82e-21 1.42e-15 5.14e-11 1.73e-06 3.14e-03 9.97e-01
2.970282e+02 2.76e-24 1.83e-22 2.25e-16 1.29e-11 6.90e-07 1.99e-03 9.98e-01
4.707580e+02 2.76e-24 1.83e-23 3.57e-17 3.25e-12 2.75e-07 1.25e-03 9.99e-01
7.461012e+02 2.76e-24 2.76e-24 5.67e-18 8.17e-13 1.09e-07 7.92e-04 9.99e-01
1.182491e+03 2.76e-24 2.76e-24 8.99e-19 2.05e-13 4.36e-08 5.00e-04 1.00e+00
1.874121e+03 2.76e-24 2.76e-24 1.42e-19 5.16e-14 1.74e-08 3.15e-04 1.00e+00
2.970282e+03 2.76e-24 2.76e-24 2.26e-20 1.30e-14 6.91e-09 1.99e-04 1.00e+00
4.707580e+03 2.76e-24 2.76e-24 3.58e-21 3.25e-15 2.75e-09 1.26e-04 1.00e+00
7.461012e+03 2.76e-24 2.76e-24 5.67e-22 8.17e-16 1.10e-09 7.92e-05 1.00e+00
1.182491e+04 2.76e-24 2.76e-24 8.99e-23 2.05e-16 4.36e-10 5.00e-05 1.00e+00
1.874121e+04 2.76e-24 2.76e-24 1.42e-23 5.16e-17 1.74e-10 3.15e-05 1.00e+00
2.970282e+04 2.76e-24 2.76e-24 2.76e-24 1.30e-17 6.91e-11 1.99e-05 1.00e+00
4.707580e+04 2.76e-24 2.76e-24 2.76e-24 3.25e-18 2.75e-11 1.26e-05 1.00e+00
7.461012e+04 2.76e-24 2.76e-24 2.76e-24 8.18e-19 1.10e-11 7.92e-06 1.00e+00
1.182491e+05 2.76e-24 2.76e-24 2.76e-24 2.05e-19 4.36e-12 5.00e-06 1.00e+00
1.874121e+05 2.76e-24 2.76e-24 2.76e-24 5.16e-20 1.74e-12 3.15e-06 1.00e+00
2.970282e+05 2.76e-24 2.76e-24 2.76e-24 1.30e-20 6.91e-13 1.99e-06 1.00e+00
4.707580e+05 2.76e-24 2.76e-24 2.76e-24 3.25e-21 2.75e-13 1.26e-06 1.00e+00
7.461012e+05 2.76e-24 2.76e-24 2.76e-24 8.18e-22 1.10e-13 7.92e-07 1.00e+00
1.182491e+06 2.76e-24 2.76e-24 2.76e-24 2.05e-22 4.36e-14 5.00e-07 1.00e+00
1.874121e+06 2.76e-24 2.76e-24 2.76e-24 5.16e-23 1.74e-14 3.15e-07 1.00e+00
2.970282e+06 2.76e-24 2.76e-24 2.76e-24 1.30e-23 6.91e-15 1.99e-07 1.00e+00
4.707580e+06 2.76e-24 2.76e-24 2.76e-24 3.25e-24 2.75e-15 1.26e-07 1.00e+00
