4.707580e-10 9.65e-01 3.51e-02 4.89e-05 2.95e-09 9.58e-15 3.43e-20 1.18e-24 1.18e-24 1.18e-24
7.461012e-10 9.57e-01 4.27e-02 7.32e-05 5.43e-09 2.17e-14 9.57e-20 1.18e-24 1.18e-24 1.18e-24
1.182491e-09 9.46e-01 5.40e-02 1.18e-04 1.13e-08 5.77e-14 3.26e-19 1.18e-24 1.18e-24 1.18e-24
1.874121e-09 9.32e-01 6.75e-02 1.87e-04 2.26e-08 1.47e-13 1.05e-18 2.33e-24 1.18e-24 1.18e-24
2.970282e-09 9.18e-01 8.16e-02 2.77e-04 4.12e-08 3.30e-13 2.91e-18 7.90e-24 1.18e-24 1.18e-24
4.707580e-09 8.97e-01 1.02e-01 4.45e-04 8.49e-08 8.73e-13 9.89e-18 3.45e-23 1.18e-24 1.18e-24
7.461012e-09 8.73e-01 1.26e-01 6.97e-04 1.69e-07 2.21e-12 3.18e-17 1.41e-22 1.18e-24 1.18e-24
1.182491e-08 8.43e-01 1.56e-01 1.11e-03 3.45e-07 5.79e-12 1.07e-16 6.11e-22 1.18e-24 1.18e-24
1.874121e-08 8.13e-01 1.85e-01 1.61e-03 6.19e-07 1.28e-11 2.92e-16 2.05e-21 1.18e-24 1.18e-24
2.970282e-08 7.73e-01 2.24e-01 2.48e-03 1.22e-06 3.21e-11 9.34e-16 8.36e-21 1.18e-24 1.18e-24
4.707580e-08 7.25e-01 2.71e-01 3.88e-03 2.46e-06 8.39e-11 3.16e-15 3.67e-20 1.18e-24 1.18e-24
7.461012e-08 6.81e-01 3.13e-01 5.49e-03 4.27e-06 1.79e-10 8.29e-15 1.18e-19 1.18e-24 1.18e-24
1.182491e-07 6.24e-01 3.67e-01 8.25e-03 8.23e-06 4.44e-10 2.64e-14 4.81e-19 1.18e-24 1.18e-24
1.874121e-07 5.64e-01 4.24e-01 1.22e-02 1.55e-05 1.07e-09 8.16e-14 1.91e-18 3.45e-24 1.18e-24
2.970282e-07 5.07e-01 4.76e-01 1.70e-02 2.73e-05 2.36e-09 2.24e-13 6.57e-18 1.49e-23 1.18e-24
4.707580e-07 4.40e-01 5.36e-01 2.49e-02 5.16e-05 5.80e-09 7.17e-13 2.73e-17 8.03e-23 1.18e-24
7.461012e-07 3.74e-01 5.91e-01 3.55e-02 9.58e-05 1.40e-08 2.24e-12 1.11e-16 4.24e-22 1.18e-24
1.182491e-06 3.11e-01 6.39e-01 5.00e-02 1.76e-04 3.34e-08 6.99e-12 4.50e-16 2.16e-21 1.18e-24
1.874121e-06 2.57e-01 6.75e-01 6.73e-02 3.02e-04 7.34e-08 1.97e-11 1.62e-15 1.03e-20 1.18e-24
2.970282e-06 2.02e-01 7.04e-01 9.34e-02 5.59e-04 1.81e-07 6.46e-11 7.09e-15 6.01e-20 1.18e-24
4.707580e-06 1.53e-01 7.18e-01 1.28e-01 1.03e-03 4.48e-07 2.15e-10 3.17e-14 3.62e-19 1.18e-24
7.461012e-06 1.12e-01 7.13e-01 1.73e-01 1.89e-03 1.12e-06 7.32e-10 1.47e-13 2.28e-18 8.10e-24
1.182491e-05 7.89e-02 6.94e-01 2.24e-01 3.28e-03 2.60e-06 2.27e-09 6.08e-13 1.26e-17 5.99e-23
1.874121e-05 5.34e-02 6.45e-01 2.96e-01 6.15e-03 6.94e-06 8.61e-09 3.28e-12 9.69e-17 6.54e-22
2.970282e-05 3.29e-02 5.74e-01 3.81e-01 1.15e-02 1.88e-05 3.38e-08 1.87e-11 7.99e-16 7.81e-21
4.707580e-05 1.68e-02 4.68e-01 4.93e-01 2.18e-02 5.47e-05 1.41e-07 1.24e-10 8.33e-15 1.28e-19
7.461012e-05 7.28e-03 3.44e-01 6.06e-01 4.24e-02 1.72e-04 6.70e-07 9.84e-10 1.10e-13 2.82e-18
1.182491e-04 3.31e-03 2.43e-01 6.78e-01 7.52e-02 4.83e-04 2.98e-06 6.94e-09 1.23e-12 4.99e-17
1.874121e-04 1.48e-03 1.69e-01 7.10e-01 1.19e-01 1.15e-03 1.07e-05 3.73e-08 1.00e-11 6.09e-16
2.970282e-04 5.90e-04 1.05e-01 7.04e-01 1.87e-01 2.87e-03 4.24e-05 2.36e-07 1.01e-10 9.74e-15
4.707580e-04 2.24e-04 6.28e-02 6.57e-01 2.73e-01 6.59e-03 1.53e-04 1.33e-06 8.89e-10 1.35e-13
7.461012e-04 8.18e-05 3.60e-02 5.74e-01 3.75e-01 1.42e-02 5.17e-04 7.08e-06 7.42e-09 1.77e-12
1.182491e-03 2.89e-05 1.93e-02 4.82e-01 4.71e-01 2.66e-02 1.45e-03 2.97e-05 4.65e-08 1.66e-11
1.874121e-03 8.86e-06 9.31e-03 3.65e-01 5.70e-01 5.15e-02 4.47e-03 1.46e-04 3.60e-07 2.01e-10
2.970282e-03 2.53e-06 4.18e-03 2.58e-01 6.34e-01 9.03e-02 1.23e-02 6.36e-04 2.46e-06 2.16e-09
4.707580e-03 6.61e-07 1.72e-03 1.68e-01 6.50e-01 1.46e-01 3.15e-02 2.56e-03 1.59e-05 2.25e-08
7.461012e-03 1.56e-07 6.42e-04 9.87e-02 6.04e-01 2.14e-01 7.29e-02 9.36e-03 9.19e-05 2.05e-07
1.182491e-02 3.22e-08 2.10e-04 5.10e-02 4.93e-01 2.76e-01 1.49e-01 3.02e-02 4.69e-04 1.65e-06
1.874121e-02 5.58e-09 5.75e-05 2.21e-02 3.38e-01 3.00e-01 2.56e-01 8.20e-02 2.01e-03 1.12e-05
