IP total photo ff compton ind_comp lines
1.874121e+03 2.36e-03 2.36e-03 2.20e-11 2.60e-08 0.00e+00 0.00e+00
2.970282e+03 3.73e-03 3.73e-03 3.49e-11 4.11e-08 0.00e+00 0.00e+00
4.707580e+03 5.92e-03 5.92e-03 5.53e-11 6.52e-08 0.00e+00 0.00e+00
7.461012e+03 9.38e-03 9.38e-03 8.77e-11 1.03e-07 0.00e+00 0.00e+00
1.182491e+04 1.49e-02 1.49e-02 1.39e-10 1.64e-07 0.00e+00 0.00e+00
1.874121e+04 2.36e-02 2.36e-02 2.20e-10 2.60e-07 0.00e+00 0.00e+00
2.970282e+04 3.73e-02 3.73e-02 3.49e-10 4.11e-07 0.00e+00 0.00e+00
4.707580e+04 5.92e-02 5.92e-02 5.53e-10 6.52e-07 0.00e+00 0.00e+00
7.461012e+04 9.38e-02 9.38e-02 8.77e-10 1.03e-06 0.00e+00 0.00e+00
1.182491e+05 1.49e-01 1.49e-01 1.39e-09 1.64e-06 0.00e+00 0.00e+00
1.874121e+05 2.36e-01 2.36e-01 2.20e-09 2.60e-06 0.00e+00 0.00e+00
2.970282e+05 3.73e-01 3.73e-01 3.49e-09 4.11e-06 0.00e+00 0.00e+00
4.707580e+05 5.92e-01 5.92e-01 5.53e-09 6.52e-06 0.00e+00 0.00e+00
7.461012e+05 9.38e-01 9.38e-01 8.77e-09 1.03e-05 0.00e+00 0.00e+00
1.182491e+06 1.49e+00 1.49e+00 1.39e-08 1.64e-05 0.00e+00 0.00e+00
1.874121e+06 2.36e+00 2.36e+00 2.20e-08 2.60e-05 0.00e+00 0.00e+00
2.970282e+06 3.73e+00 3.73e+00 3.49e-08 4.11e-05 0.00e+00 0.00e+00
4.707580e+06 5.92e+00 5.92e+00 5.53e-08 6.52e-05 0.00e+00 0.00e+00
