IP total recomb ff compton DR DI lines Adiabatic
2.970282e+00 9.19e-11 5.96e-11 3.19e-11 1.68e-14 1.68e-13 0.00e+00 5.39e-14 3.55e-16
4.707580e+00 9.22e-11 5.98e-11 3.20e-11 2.67e-14 1.68e-13 0.00e+00 3.32e-14 3.55e-16
7.461012e+00 9.25e-11 6.00e-11 3.21e-11 4.23e-14 1.68e-13 0.00e+00 2.07e-14 3.55e-16
1.182491e+01 9.28e-11 6.02e-11 3.22e-11 6.70e-14 1.68e-13 0.00e+00 1.29e-14 3.55e-16
1.874121e+01 9.31e-11 6.04e-11 3.23e-11 1.06e-13 1.68e-13 0.00e+00 8.15e-15 3.55e-16
2.970282e+01 9.34e-11 6.05e-11 3.23e-11 1.68e-13 1.68e-13 0.00e+00 5.14e-15 3.55e-16
4.707580e+01 9.37e-11 6.07e-11 3.24e-11 2.67e-13 1.68e-13 0.00e+00 3.24e-15 3.55e-16
7.461012e+01 9.40e-11 6.08e-11 3.24e-11 4.23e-13 1.68e-13 0.00e+00 2.04e-15 3.55e-16
1.182491e+02 9.44e-11 6.10e-11 3.25e-11 6.70e-13 1.68e-13 0.00e+00 1.29e-15 3.55e-16
1.874121e+02 9.50e-11 6.11e-11 3.25e-11 1.06e-12 1.68e-13 0.00e+00 8.14e-16 3.55e-16
2.970282e+02 9.56e-11 6.11e-11 3.25e-11 1.68e-12 1.68e-13 0.00e+00 5.13e-16 3.55e-16
4.707580e+02 9.66e-11 6.10e-11 3.26e-11 2.67e-12 1.68e-13 0.00e+00 3.24e-16 3.55e-16
7.461012e+02 9.82e-11 6.10e-11 3.26e-11 4.23e-12 1.68e-13 0.00e+00 2.04e-16 3.55e-16
1.182491e+03 1.01e-10 6.10e-11 3.26e-11 6.70e-12 1.68e-13 0.00e+00 1.29e-16 3.55e-16
1.874121e+03 1.05e-10 6.11e-11 3.26e-11 1.06e-11 1.68e-13 0.00e+00 8.14e-17 3.55e-16
2.970282e+03 1.11e-10 6.12e-11 3.27e-11 1.68e-11 1.68e-13 0.00e+00 5.13e-17 3.55e-16
4.707580e+03 1.21e-10 6.13e-11 3.27e-11 2.67e-11 1.68e-13 0.00e+00 3.24e-17 3.55e-16
7.461012e+03 1.37e-10 6.13e-11 3.27e-11 4.23e-11 1.68e-13 0.00e+00 2.04e-17 3.55e-16
1.182491e+04 1.61e-10 6.14e-11 3.27e-11 6.70e-11 1.68e-13 0.00e+00 1.29e-17 3.55e-16
1.874121e+04 2.01e-10 6.14e-11 3.27e-11 1.06e-10 1.68e-13 0.00e+00 8.14e-18 3.55e-16
2.970282e+04 2.63e-10 6.15e-11 3.27e-11 1.68e-10 1.68e-13 0.00e+00 5.14e-18 3.55e-16
4.707580e+04 3.61e-10 6.15e-11 3.27e-11 2.67e-10 1.68e-13 0.00e+00 3.24e-18 3.55e-16
7.461012e+04 5.17e-10 6.15e-11 3.27e-11 4.23e-10 1.68e-13 0.00e+00 2.04e-18 3.55e-16
1.182491e+05 7.64e-10 6.15e-11 3.27e-11 6.70e-10 1.68e-13 0.00e+00 1.08e-32 3.55e-16
1.874121e+05 1.16e-09 6.15e-11 3.27e-11 1.06e-09 1.68e-13 0.00e+00 6.82e-33 3.55e-16
2.970282e+05 1.78e-09 6.15e-11 3.27e-11 1.68e-09 1.68e-13 0.00e+00 4.30e-33 3.55e-16
4.707580e+05 2.76e-09 6.15e-11 3.27e-11 2.67e-09 1.68e-13 0.00e+00 2.72e-33 3.55e-16
7.461012e+05 4.32e-09 6.15e-11 3.27e-11 4.23e-09 1.68e-13 0.00e+00 4.22e-192 3.55e-16
1.182491e+06 6.79e-09 6.15e-11 3.27e-11 6.70e-09 1.68e-13 0.00e+00 2.66e-192 3.55e-16
1.874121e+06 1.07e-08 6.15e-11 3.27e-11 1.06e-08 1.68e-13 0.00e+00 1.68e-192 3.55e-16
2.970282e+06 1.69e-08 6.15e-11 3.27e-11 1.68e-08 1.68e-13 0.00e+00 0.00e+00 3.55e-16
4.707580e+06 2.68e-08 6.15e-11 3.27e-11 2.67e-08 1.68e-13 0.00e+00 0.00e+00 3.55e-16
